old_name,new_name
LM.NA_NDN_HONG_LONG_2$NA_NDN_HONG_LONG.kml,NA_NDN_HONG_LONG_2-NA_NDN_HONG_LONG.kml
LM.NA_NDN_KDL_EO_GIO$NA_HNN_HUNG_TAY_2.kml,NA_NDN_KDL_EO_GIO-NA_HNN_HUNG_TAY_2.kml
LM.NA_NDN_LANG_SEN$NA_NDN_KIM_LIEN.kml,NA_NDN_KIM_LIEN-NA_NDN_LANG_SEN.kml
LM.NA_NDN_NAM_CAT$NA_HNN_HUNG_DAO.kml,NA_NDN_NAM_CAT-NA_HNN_HUNG_DAO.kml
LM.NA_NDN_NAM_DAN_2$NA_NDN_NAM_DAN.kml,NA_NDN_NAM_DAN-NA_NDN_NAM_DAN_2.kml
LM.NA_NDN_NAM_GIANG$NA_NDN_NAM_LINH.kml,NA_NDN_NAM_LINH-NA_NDN_NAM_GIANG.kml
LM.NA_NDN_NAM_TAN$NA_NDN_NAM_LOC.kml,NA_NDN_NAM_LOC-NA_NDN_NAM_TAN.kml
LM.NA_NDN_NAM_HUNG_2$NA_NDN_NAM_NGHIA.kml,NA_NDN_NAM_NGHIA-NA_NDN_NAM_HUNG_2.kml
LM.NA_NDN_NAM_PHUC$NA_NDN_NAM_PHUC_2.kml,NA_NDN_NAM_PHUC-NA_NDN_NAM_PHUC_2.kml
LM.NA_NDN_NAM_TAN$NA_NDN_NAM_DAN_2.kml,NA_NDN_NAM_TAN-NA_NDN_NAM_DAN_2.kml
LM.NA_NDN_NAM_THAI$NA_NDN_VAN_DIEN.kml,NA_NDN_NAM_THAI-NA_NDN_VAN_DIEN.kml
LM.NA_NDN_NAM_THANH_3$NA_NDN_NAM_THANH.kml,NA_NDN_NAM_THANH-NA_NDN_NAM_THANH_3.kml
LM.NA_NDN_VAN_DIEN$NA_NDN_NAM_THANH_3.kml,NA_NDN_NAM_THANH_3-NA_NDN_VAN_DIEN.kml
LM.NA_NDN_NAM_XUAN_2$NA_NDN_NAM_XUAN.kml,NA_NDN_NAM_XUAN_2-NA_NDN_NAM_XUAN.kml
LM.NA_NDN_NAM_DAN_2$NA_NDN_VAN_DIEN_2.kml,NA_NDN_VAN_DIEN_2-NA_NDN_NAM_DAN_2.kml
LM.NA_NDN_LANG_SEN$NA_NDN_VAN_HOI.kml,NA_NDN_VAN_HOI-NA_NDN_LANG_SEN.kml
LM.NA_NDN_HUNG_TIEN$NA_NDN_XUAN_HOA.kml,NA_NDN_XUAN_HOA-NA_NDN_HUNG_TIEN.kml
LM.NA_NDN_NAM_LOC$NA_NDN_KHANH_SON_2.kml,NA_NDN_KHANH_SON_2-NA_NDN_NAM_LOC.kml
LM.NA_NDN_NAM_CAT_2$NA_HNN_HUNG_TAN.kml,NA_NDN_NAM_CAT_2-NA_HNN_HUNG_TAN.kml
LM.NA_NDN_NAM_PHUC_2$NA_NDN_NAM_TRUNG.kml,NA_NDN_NAM_TRUNG-NA_NDN_NAM_PHUC_2.kml
LM.NA_NDN_XUAN_HOA_3$NA_NDN_XUAN_HOA.kml,NA_NDN_XUAN_HOA_3-NA_NDN_XUAN_HOA.kml
